,Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
4703,Filosofgangen 66,5000 Odense C,2512500.0,2023,77,2,1,Fri handel
4704,"Æbleparken 19, st.","Søhus, 5270 Odense N",750000.0,2023,59,2,1,Fri handel
4705,Stenosgade 15,5230 Odense M,7400000.0,2023,134,4,3,Fri handel
4706,Hunderupvej 204,5230 Odense M,5500000.0,2023,146,5,2,Fri handel
4707,Gammel Ådalsvej 10,"Dyrup, 5250 Odense SV",900000.0,2023,135,4,2,Fri handel
4708,Damhavevej 51,"Stenløse, 5260 Odense S",2200000.0,2023,227,6,2,Fri handel
4709,Villasmindevej 17,"Bellinge, 5250 Odense SV",4000000.0,2023,167,5,2,Fri handel
4710,Lyøgade 25,5000 Odense C,3200000.0,2023,137,5,2,Fri handel
4711,"Odinsgade 42, st. tv.",5000 Odense C,1125000.0,2023,53,2,1,Fri handel
4712,Morelvej 106,"Sanderum, 5250 Odense SV",1350000.0,2023,85,4,1,Fri handel
4713,"Middelfartvej 145, 1. th.","Bolbro, 5200 Odense V",850000.0,2023,58,2,1,Fri handel
4714,Hermelinløkken 146,"Korup, 5210 Odense NV",1745000.0,2023,124,4,2,Fri handel
4715,"Thorsgade 12, 1.",5000 Odense C,3500000.0,2023,89,3,1,Fri handel
4716,"Skibhusvej 117, 1.",5000 Odense C,1475000.0,2023,84,2,1,Fri handel
4717,Læssøegade 160,5230 Odense M,3625000.0,2023,212,7,2,Fri handel
4718,Havtornvænget 14,"Korup, 5210 Odense NV",2200000.0,2023,150,5,2,Fri handel
4719,Ellekærshaven 33,"Dalum, 5250 Odense SV",2595000.0,2023,123,6,1,Fri handel
4720,Clausens Allé 9,"Dalum, 5250 Odense SV",4957500.0,2023,144,3,2,Fri handel
4721,"Thorsgade 12, 2.",5000 Odense C,3500000.0,2023,70,3,1,Fri handel
4722,"Thorsgade 12, st.",5000 Odense C,3500000.0,2023,89,3,1,Fri handel
4723,Turkisvej 4A,"Tarup, 5210 Odense NV",1150000.0,2023,168,7,2,Fri handel
4724,Øksnebjergvej 50,5230 Odense M,4550000.0,2023,163,6,2,Fri handel
4725,"Henriettevej 38, 2. th.",5000 Odense C,1150000.0,2023,51,2,1,Fri handel
4726,Munkevænget 8B,5230 Odense M,5150000.0,2023,138,6,2,Fri handel
4727,Lindehaven 31,"Stige, 5270 Odense N",2300000.0,2023,128,5,2,Fri handel
4728,Guldrankevej 60,5200 Odense V,2640000.0,2023,118,6,2,Fri handel
4729,Lucernevej 7,"Tarup, 5210 Odense NV",3095000.0,2023,160,5,2,Fri handel
4730,Hjejlebakken 40,"Snestrup, 5210 Odense NV",1850000.0,2023,125,4,1,Fri handel
4731,"Holmehusvej 15, 1. tv.",5000 Odense C,1100000.0,2023,57,2,1,Fri handel
4732,Kochsgade 147,5000 Odense C,2450000.0,2023,135,4,1,Fri handel
4733,"Jens Benzons Gade 34, 1.",5000 Odense C,2450000.0,2023,102,3,1,Fri handel
4734,Høstlyngen 50,"Stige, 5270 Odense N",2270000.0,2023,132,4,1,Fri handel
4735,Strandvejen 56,"Seden, 5240 Odense NØ",800000.0,2023,110,4,1,Fri handel
4736,Birkum Bygade 6,"Birkum, 5220 Odense SØ",375000.0,2023,90,3,1,Fri handel
4737,Larsskovgyden 18,"Anderup, 5270 Odense N",3450000.0,2023,174,4,2,Fri handel
4738,Faaborgvej 89,"Dalum, 5250 Odense SV",3517000.0,2023,182,8,2,Fri handel
4739,Åsumvej 605,5240 Odense NØ,1395000.0,2023,100,3,1,Fri handel
4740,Niels Juels Allé 8,"Sanderum, 5250 Odense SV",3725000.0,2023,110,4,1,Fri handel
4741,Højby Allé 41,"Højby, 5260 Odense S",1600000.0,2023,100,3,1,Fri handel
4742,Davinde Bygade 42,"Davinde, 5220 Odense SØ",150000.0,2023,162,5,1,Fri handel
4743,Sommervej 2A,"Sanderum, 5250 Odense SV",2815000.0,2023,97,6,1,Fri handel
4744,Kærnehøjvej 65,"Højby, 5260 Odense S",1900000.0,2023,130,5,2,Fri handel
4745,Skovhaven 72,"Bullerup, 5320 Agedrup",1495000.0,2023,121,4,1,Fri handel
4746,"Lotusvej 12, st. mf.","Sanderum, 5250 Odense SV",840000.0,2023,49,2,1,Fri handel
4747,Morelvej 175,"Sanderum, 5250 Odense SV",1830000.0,2023,86,4,1,Fri handel
4748,Kanalvej 126,5000 Odense C,4625000.0,2023,161,5,2,Fri handel
4749,Henriettevej 13,5000 Odense C,4200000.0,2023,156,6,1,Fri handel
4750,Mejlholmgade 81,5000 Odense C,2200000.0,2023,92,4,1,Fri handel
4751,Lærkedals Allé 10,"Dalum, 5250 Odense SV",4200000.0,2023,118,4,1,Fri handel
4752,Fuglebakken 60,"Snestrup, 5210 Odense NV",1350000.0,2023,83,3,1,Fri handel
4753,Morelvej 25,"Sanderum, 5250 Odense SV",1600000.0,2023,122,6,1,Fri handel
4754,Langelinie 23,5230 Odense M,17800000.0,2023,248,10,3,Fri handel
4755,Jomsborgvej 27,5000 Odense C,3995000.0,2023,110,5,1,Fri handel
4756,Stendyssen 61,"Bellinge, 5250 Odense SV",4600000.0,2023,179,5,2,Fri handel
4757,"Nørregade 24, 1. tv.",5000 Odense C,1375000.0,2023,68,2,1,Fri handel
4758,Lykkevænget 9,"Tarup, 5210 Odense NV",3750000.0,2023,129,4,2,Fri handel
4759,Ugletoften 68,"Højby, 5260 Odense S",3495000.0,2023,184,6,3,Fri handel
4760,"Henriettevej 3B, 1. th.",5000 Odense C,2325000.0,2023,110,3,1,Fri handel
4761,Faaborgvej 316,"Dyrup, 5250 Odense SV",1995000.0,2023,124,5,1,Fri handel
4762,Middelfartvej 439,"Vejrup, 5491 Blommenslyst",1250000.0,2023,109,6,1,Fri handel
4763,Søskrænten 14,"Slukefter, 5210 Odense NV",3500000.0,2023,173,4,2,Fri handel
4764,Vagtelvej 14,5000 Odense C,3075000.0,2023,127,5,2,Fri handel
4765,"Døckerslundsvej 4E, 2. tv.",5000 Odense C,1199000.0,2023,64,2,1,Fri handel
4766,Flaskehalsen 54,"Seden, 5240 Odense NØ",2850000.0,2023,150,6,2,Fri handel
4767,Pilevangen 32,"Tarup, 5210 Odense NV",1198750.0,2023,91,4,2,Fri handel
4768,"Odeons Kvarter 21, 4. 1.",5000 Odense C,3835000.0,2023,99,3,1,Fri handel
4769,Brushanevænget 10,"Stige, 5270 Odense N",2150000.0,2023,115,3,2,Fri handel
4770,Vissenbjergvej 22,5230 Odense M,2390000.0,2023,155,4,2,Fri handel
4771,Kirkegyden 68,"Stige, 5270 Odense N",1900000.0,2023,157,6,1,Fri handel
4772,Jonatanvænget 14,"Søhus, 5270 Odense N",1460000.0,2023,73,3,1,Fri handel
4773,Ridderhatten 324,"Tornbjerg, 5220 Odense SØ",2850000.0,2023,157,4,2,Fri handel
4774,Græshaven 20,"Bullerup, 5320 Agedrup",1670000.0,2023,99,4,1,Fri handel
4775,Hunderupvej 65,5000 Odense C,7300000.0,2023,235,9,2,Fri handel
4776,Benediktes Allé 7,"Dalum, 5250 Odense SV",4325000.0,2023,153,6,3,Fri handel
4777,Næsbyhave 4,"Næsby, 5270 Odense N",1450000.0,2023,98,4,2,Fri handel
4778,Damhusvej 90,5000 Odense C,3695000.0,2023,156,4,2,Fri handel
4779,Guldrankevej 146,5200 Odense V,2575000.0,2023,114,4,2,Fri handel
4780,Anderuplunden 84,"Anderup, 5270 Odense N",1100000.0,2023,64,3,1,Fri handel
4781,Lungstedløkken 27,"Bellinge, 5250 Odense SV",2685000.0,2023,157,5,2,Fri handel
4782,"Christiansgade 17, 1. tv.",5000 Odense C,1595000.0,2023,53,2,1,Fri handel
4783,"Skt. Hans Gade 20, 1.",5000 Odense C,2455000.0,2023,60,2,1,Fri handel
4784,Sprogøvej 17,5000 Odense C,3318000.0,2023,117,2,1,Fri handel
4785,"Æbleparken 41, 1.","Søhus, 5270 Odense N",745000.0,2023,59,2,1,Fri handel
4786,Bladstrupvej 64,"Lumby, 5270 Odense N",1100000.0,2023,125,4,2,Fri handel
4787,"Skt. Hans Gade 20, 2.",5000 Odense C,2455000.0,2023,58,2,1,Fri handel
4788,Thujavej 59,"Dyrup, 5250 Odense SV",2400000.0,2023,164,4,2,Fri handel
4789,Kragsbjergvej 95,5230 Odense M,5465000.0,2023,129,5,2,Fri handel
4790,Banevænget 6,"Næsby, 5270 Odense N",3900000.0,2023,160,8,1,Fri handel
4791,Prinsesse Maries Allé 5,5000 Odense C,5100000.0,2023,150,5,1,Fri handel
4792,Svendborgvej 103,"Hjallese, 5260 Odense S",2050000.0,2023,160,6,2,Fri handel
4793,"Skt. Hans Gade 20, st.",5000 Odense C,2455000.0,2023,60,2,1,Fri handel
4794,Absalonsgade 18,5000 Odense C,6125000.0,2023,181,4,3,Fri handel
4795,Krengerupvænget 46,5230 Odense M,2475000.0,2023,89,4,1,Fri handel
4796,Windelsvej 7A,5000 Odense C,2850000.0,2023,94,4,1,Fri handel
4797,Aarestrupsvej 17,5230 Odense M,6260000.0,2023,130,3,3,Fri handel
4798,Dahlsvej 151,"Volderslev, 5260 Odense S",2900000.0,2023,228,6,2,Fri handel
4799,Tranehøjen 138,"Dyrup, 5250 Odense SV",1410000.0,2023,75,3,1,Fri handel
4800,Krogvænget 6,"Næsby, 5270 Odense N",1450000.0,2023,85,4,1,Fri handel
4801,Kimbrerbakken 32,"Bellinge, 5250 Odense SV",3420854.0,2023,142,5,2,Fri handel
4802,Rypebakken 14,"Snestrup, 5210 Odense NV",2075000.0,2023,108,4,2,Fri handel
4803,Præstegårdsvænget 72,"Tarup, 5210 Odense NV",2245000.0,2023,115,4,1,Fri handel
4804,"Dalumvej 91, 1. 1.","Dalum, 5250 Odense SV",2725000.0,2023,98,3,1,Fri handel
4805,Guldsmedevænget 115,"Hjallese, 5260 Odense S",1388637.0,2023,75,3,1,Fri handel
4806,Vejrup-Vej 9,"Vejrup, 5491 Blommenslyst",2795000.0,2023,224,7,2,Fri handel
4807,"Heltzensgade 9, kl.",5000 Odense C,1400000.0,2023,69,1,1,Fri handel
4808,Sukkervænget 57,5000 Odense C,3035000.0,2023,110,4,2,Fri handel
4809,Skibhusvej 213,5000 Odense C,2875000.0,2023,115,6,1,Fri handel
4810,Middelfartvej 401,"Vejrup, 5491 Blommenslyst",1150000.0,2023,115,5,2,Fri handel
4811,Lillehøjen 6,"Næsby, 5270 Odense N",1885000.0,2023,116,5,1,Fri handel
4812,Slagkrogen 126,5220 Odense SØ,2110000.0,2023,103,4,1,Fri handel
4813,Højemarksvej 54,"Bolbro, 5200 Odense V",1960000.0,2023,114,3,2,Fri handel
4814,Lundekærsvej 6,"Bellinge, 5250 Odense SV",2580000.0,2023,166,6,1,Fri handel
4815,Tranehøjen 20,"Dyrup, 5250 Odense SV",1550000.0,2023,90,4,1,Fri handel
4816,Lollandsgade 26,5000 Odense C,1845000.0,2023,113,4,2,Fri handel
4817,Egevej 4,"Ejlstrup, 5200 Odense V",1800000.0,2023,140,5,1,Fri handel
4818,"Dagmargade 7, 3. th.",5000 Odense C,2380000.0,2023,72,3,1,Fri handel
4819,Middelfartvej 381,"Vejrup, 5491 Blommenslyst",250000.0,2023,100,4,1,Fri handel
4820,Lærkedals Allé 19,"Dalum, 5250 Odense SV",2650000.0,2023,101,4,1,Fri handel
4821,Holkebjergvænget 31,"Sanderum, 5250 Odense SV",1340000.0,2023,89,3,1,Fri handel
4822,"Østerbæksvej 69, st.",5230 Odense M,2430000.0,2023,100,4,1,Fri handel
4823,"Overgade 70, st.",5000 Odense C,2325000.0,2023,79,3,1,Fri handel
4824,Fædresmindevej 76,"Sanderum, 5250 Odense SV",3715000.0,2023,155,5,2,Fri handel
4825,Sukkervænget 31,5000 Odense C,3125000.0,2023,110,4,2,Fri handel
4826,Benediktes Allé 14,"Dalum, 5250 Odense SV",6400000.0,2023,182,6,2,Fri handel
4827,"Kong Georgs Vej 19, 1. th.",5000 Odense C,1455000.0,2023,66,2,1,Fri handel
4828,"Østerbæksvej 69, 1.",5230 Odense M,2430000.0,2023,85,4,1,Fri handel
4829,Poppelvej 65,5230 Odense M,4300000.0,2023,106,5,2,Fri handel
4830,Højemarksvej 62,"Bolbro, 5200 Odense V",1349000.0,2023,94,4,2,Fri handel
4831,Poul Nielsens Vænge 22,"Bellinge, 5250 Odense SV",1995000.0,2023,96,4,1,Fri handel
4832,Saxovej 158,"Højstrup, 5210 Odense NV",1510000.0,2023,78,4,1,Fri handel
4833,Rødkildevænget 19,5230 Odense M,2700000.0,2023,160,5,1,Fri handel
4834,Anderupvænget 120,"Anderup, 5270 Odense N",1850000.0,2023,112,4,2,Fri handel
4835,Borgervænget 15,5000 Odense C,3250000.0,2023,182,8,2,Fri handel
4836,Stenløsevej 90,"Hjallese, 5260 Odense S",2495000.0,2023,120,4,3,Fri handel
4837,Væbnerhatten 146,"Tornbjerg, 5220 Odense SØ",2310000.0,2023,100,3,1,Fri handel
4838,Højmevænget 34,"Dyrup, 5250 Odense SV",3200000.0,2023,163,6,2,Fri handel
4839,"Drewsensvej 9, 3. th.",5000 Odense C,2300000.0,2023,93,3,1,Fri handel
4840,Bragesvej 22,"Bolbro, 5200 Odense V",3070000.0,2023,126,4,2,Fri handel
4841,Hedelundmarken 31,"Stige, 5270 Odense N",4185000.0,2023,182,5,2,Fri handel
4842,Hesteskoen 12,"Sanderum, 5250 Odense SV",4095500.0,2023,190,5,2,Fri handel
4843,Buchwaldsgade 61,5000 Odense C,2550000.0,2023,149,6,2,Fri handel
4844,Nordmarksvej 12,"Næsby, 5270 Odense N",1552500.0,2023,110,3,1,Fri handel
4845,Rådyrløkken 101,"Slukefter, 5210 Odense NV",2100000.0,2023,130,5,2,Fri handel
4846,Billesgade 29,5000 Odense C,4500000.0,2023,179,6,1,Fri handel
4847,"Ternevej 113, 1.","Snestrup, 5210 Odense NV",1020000.0,2023,76,3,1,Fri handel
4848,Vester Allé 6,"Dalum, 5250 Odense SV",3830000.0,2023,146,4,2,Fri handel
4849,"Henriettevej 3B, 2. th.",5000 Odense C,2300000.0,2023,110,3,1,Fri handel
4850,Nørrevangen 11,"Skt Klemens, 5260 Odense S",3050000.0,2023,136,6,2,Fri handel
4851,Muslingevej 33,"Seden, 5240 Odense NØ",3400000.0,2023,189,4,2,Fri handel
4852,Konvalvej 1,"Bellinge, 5250 Odense SV",2335000.0,2023,118,5,1,Fri handel
4853,"Frederiksgade 26, 2. tv.",5000 Odense C,1700000.0,2023,67,2,1,Fri handel
4854,Kartoffelhaven 17,"Bullerup, 5320 Agedrup",1012000.0,2023,168,5,2,Fri handel
4855,Præstevej 93,"Korup, 5210 Odense NV",1600000.0,2023,111,5,1,Fri handel
4856,"Klostervej 24A, 1. th.",5000 Odense C,1495000.0,2023,66,2,1,Fri handel
4857,Hyldemor 7,"Næsby, 5270 Odense N",2200000.0,2023,122,5,2,Fri handel
4858,Egholmen 2,"Seden, 5240 Odense NØ",1250000.0,2023,110,4,1,Fri handel
4859,Faaborgvej 26A,"Dalum, 5250 Odense SV",1860000.0,2023,80,3,1,Fri handel
4860,Tybrindvænget 33,5230 Odense M,2235000.0,2023,83,3,1,Fri handel
4861,"Floravænget 5, st. mf.","Dalum, 5250 Odense SV",710000.0,2023,43,1,1,Fri handel
4862,Fristedet 12,"Næsby, 5270 Odense N",2235000.0,2023,106,4,1,Fri handel
4863,Lindeallé 4,5230 Odense M,6300000.0,2023,142,5,3,Fri handel
4864,Syvhøjevej 38,"Højby, 5260 Odense S",1800000.0,2023,117,4,2,Fri handel
4865,Sukkervænget 15,5000 Odense C,3100000.0,2023,118,4,2,Fri handel
4866,Kroggårdvej 19,"Næsby, 5270 Odense N",2350000.0,2023,122,5,1,Fri handel
4867,Svanevej 12,5000 Odense C,3350000.0,2023,149,6,2,Fri handel
4868,Damhusvej 34,5000 Odense C,2600000.0,2023,126,5,2,Fri handel
4869,"Kong Georgs Vej 25, 1. tv.",5000 Odense C,1250000.0,2023,66,2,1,Fri handel
4870,Møllegårdsvej 4,"Næsby, 5270 Odense N",2845000.0,2023,113,3,2,Fri handel
4871,Ørbækvej 785B,"Davinde, 5220 Odense SØ",800000.0,2023,119,3,1,Fri handel
4872,Rævegyden 26,"Aasum, 5240 Odense NØ",2100000.0,2023,195,5,1,Fri handel
4873,Ørbækvej 785A,"Davinde, 5220 Odense SØ",800000.0,2023,140,3,1,Fri handel
4874,Anderuplunden 93,"Anderup, 5270 Odense N",1335000.0,2023,64,3,1,Fri handel
4875,Skolevej 7,"Næsby, 5270 Odense N",2500000.0,2023,198,8,2,Fri handel
4876,Højstrupvangen 27,"Bolbro, 5200 Odense V",1450000.0,2023,61,2,1,Fri handel
4877,Mosegårdsvej 101,5000 Odense C,2450000.0,2023,146,5,2,Fri handel
4878,Østerbæksvej 71,5230 Odense M,6225000.0,2023,166,7,3,Fri handel
4879,Pilebakken 11,"Skt Klemens, 5260 Odense S",3425000.0,2023,166,6,2,Fri handel
4880,Odensevej 33,"Hjallese, 5260 Odense S",2150000.0,2023,181,9,3,Fri handel
4881,Melbyesvej 19,5230 Odense M,2615000.0,2023,93,4,2,Fri handel
4882,Ternevej 63,"Snestrup, 5210 Odense NV",1945000.0,2023,99,4,2,Fri handel
4883,Dragebakken 137,"Sanderum, 5250 Odense SV",1850000.0,2023,86,4,1,Fri handel
4884,"Skibhusvej 61B, 4. th.",5000 Odense C,2275000.0,2023,104,4,1,Fri handel
4885,Klaus Berntsens Vej 120,"Højby, 5260 Odense S",2537000.0,2023,125,4,1,Fri handel
4886,"Rødegårdsvej 61, st. tv.",5000 Odense C,1350000.0,2023,64,2,1,Fri handel
4887,Poul Nielsens Vænge 5,"Bellinge, 5250 Odense SV",1998000.0,2023,85,3,1,Fri handel
4888,Søballevej 15,"Næsbyhoved-Broby, 5270 Odense N",1570000.0,2023,167,7,2,Fri handel
4889,Skolevej 12,"Næsby, 5270 Odense N",3450000.0,2023,138,5,2,Fri handel
4890,"Annasholmsgade 8, st.",5000 Odense C,1000000.0,2023,58,3,1,Fri handel
4891,Rasmus Rasks Allé 1,"Bellinge, 5250 Odense SV",1575000.0,2023,96,4,1,Fri handel
4892,Musvågevej 123,"Snestrup, 5210 Odense NV",1400000.0,2023,110,4,1,Fri handel
4893,Damsbovænget 8,5230 Odense M,1925000.0,2023,106,4,1,Fri handel
4894,"Grønlandsgade 24A, 1.",5000 Odense C,1470000.0,2023,75,3,1,Fri handel
4895,"Middelfartvej 139, 1. tv.","Bolbro, 5200 Odense V",945000.0,2023,66,3,1,Fri handel
4896,Hermelinløkken 12,"Korup, 5210 Odense NV",1553000.0,2023,119,4,2,Fri handel
4897,Syvhøjevej 108,"Højby, 5260 Odense S",1985000.0,2023,107,3,1,Fri handel
4898,Ravnebjerggyden 208,5250 Odense SV,1245000.0,2023,126,4,1,Fri handel
4899,Hjallesevej 191,5230 Odense M,2900000.0,2023,116,5,2,Fri handel
4900,Kirkegyden 16E,"Stige, 5270 Odense N",1050000.0,2023,60,3,1,Fri handel
4901,Pilevej 10,"Ejlstrup, 5200 Odense V",1920000.0,2023,118,4,1,Fri handel
4902,Flittig Lise Vej 48,"Bellinge, 5250 Odense SV",2050000.0,2023,111,4,1,Fri handel
4903,Hyldemor 12,"Næsby, 5270 Odense N",1950000.0,2023,130,5,2,Fri handel
4904,Junovænget 2,"Paarup, 5210 Odense NV",2650000.0,2023,164,6,2,Fri handel
4906,"Tolderlundsvej 91, 3. tv.",5000 Odense C,1812500.0,2023,89,3,1,Fri handel
4907,Østergårds Allé 66,"Sanderum, 5250 Odense SV",2550000.0,2023,115,5,2,Fri handel
4908,Paaskeløkkevej 34,5000 Odense C,2360000.0,2023,77,3,1,Fri handel
4909,Mensalgårdvej 23,"Hjallese, 5260 Odense S",2700000.0,2023,140,4,1,Fri handel
4910,Hunderup Ege 6,5230 Odense M,9795000.0,2023,199,4,2,Fri handel
4911,Hans Jensens Stræde 33,5000 Odense C,2750000.0,2023,93,3,1,Fri handel
4912,Præstegårdsvænget 17,"Tarup, 5210 Odense NV",2350000.0,2023,98,3,1,Fri handel
4913,Engdraget 3,"Næsby, 5270 Odense N",1900000.0,2023,107,4,1,Fri handel
4914,Syvhøjevej 24,"Højby, 5260 Odense S",2850000.0,2023,158,6,2,Fri handel
4915,"Georgsgade 1, 2. tv.",5000 Odense C,1425000.0,2023,76,2,1,Fri handel
4916,Eckersbergsvej 76,5230 Odense M,2697000.0,2023,103,4,2,Fri handel
4917,Svenstrupvænget 8,"Skt Klemens, 5260 Odense S",2600000.0,2023,161,6,1,Fri handel
4918,Gunløgsvænget 4,"Højstrup, 5210 Odense NV",1850000.0,2023,113,4,1,Fri handel
4919,Tornmarksvej 133,"Lille Ubberud, 5491 Blommenslyst",110300.0,2023,216,9,2,Fri handel
4920,H.J. Poulsens Allé 96,"Sanderum, 5250 Odense SV",3011000.0,2023,124,5,2,Fri handel
4921,Sønderdalen 16,"Skt Klemens, 5260 Odense S",1525000.0,2023,111,4,1,Fri handel
4922,Landkildevej 58,"Tornbjerg, 5220 Odense SØ",2500000.0,2023,268,3,1,Fri handel
4923,Skovfyrvangen 5,"Stige, 5270 Odense N",3350000.0,2023,166,5,2,Fri handel
4924,Sejerskovvænget 6,"Hjallese, 5260 Odense S",7150000.0,2023,265,10,3,Fri handel
4925,Askvej 59,"Dyrup, 5250 Odense SV",2225000.0,2023,151,5,2,Fri handel
4926,"Albanigade 67, 2. 11.",5000 Odense C,1565000.0,2023,67,2,1,Fri handel
4927,Hjallesegade 14,"Hjallese, 5260 Odense S",2450000.0,2023,115,6,2,Fri handel
4928,Lindeallé 19,5230 Odense M,11750000.0,2023,222,8,3,Fri handel
4929,Grønnevangen 109,"Snestrup, 5210 Odense NV",2645000.0,2023,173,6,2,Fri handel
4930,Højemarksvej 70,"Bolbro, 5200 Odense V",1565000.0,2023,89,3,1,Fri handel
4931,Melbyesvej 14,5230 Odense M,2000000.0,2023,102,4,1,Fri handel
4932,Pærehaven 2,"Bullerup, 5320 Agedrup",2000000.0,2023,150,4,1,Fri handel
4933,Hørdumsgade 33,5000 Odense C,4100000.0,2023,140,5,2,Fri handel
4934,"Floravænget 21, 1. tv.","Dalum, 5250 Odense SV",1200000.0,2023,83,3,1,Fri handel
4935,Christiansgade 56,5000 Odense C,4995000.0,2023,143,7,2,Fri handel
4936,Egebæksvej 20,5000 Odense C,4695000.0,2023,150,5,3,Fri handel
4937,Svendborgvej 304,"Højby, 5260 Odense S",1945000.0,2023,122,5,1,Fri handel
4938,Øderløkken 11,"Seden, 5240 Odense NØ",1985000.0,2023,153,5,2,Fri handel
4939,Bergsvej 26,5230 Odense M,3995000.0,2023,139,4,1,Fri handel
4940,Græsmarken 4,"Hjallese, 5260 Odense S",3095000.0,2023,136,5,2,Fri handel
4941,Svenstrupvej 95,"Skt Klemens, 5260 Odense S",1600000.0,2023,96,4,1,Fri handel
4942,Strandholtvej 10,"Stige, 5270 Odense N",750000.0,2023,150,4,1,Fri handel
4943,"Rugårdsvej 11, 3. tv.",5000 Odense C,1240000.0,2023,53,2,1,Fri handel
4944,Ildfuglevænget 314,"Hjallese, 5260 Odense S",1700000.0,2023,75,3,1,Fri handel
4945,Brolandvej 30,"Agedrup, 5320 Agedrup",1800000.0,2023,145,6,1,Fri handel
4946,Prins Haralds Allé 170,"Sanderum, 5250 Odense SV",3200000.0,2023,172,5,2,Fri handel
4947,Bogensevej 377,"Næsbyhoved-Broby, 5270 Odense N",2185000.0,2023,180,9,2,Fri handel
4948,Åløkken 19,"Bellinge, 5250 Odense SV",1595000.0,2023,166,6,2,Fri handel
4949,Væbnerhatten 118,"Tornbjerg, 5220 Odense SØ",2825000.0,2023,153,6,1,Fri handel
4950,Nattergalevænget 8,"Snestrup, 5210 Odense NV",2900000.0,2023,131,5,1,Fri handel
4951,Ligustervænget 26,"Dalum, 5250 Odense SV",4497000.0,2023,130,6,2,Fri handel
4952,Hollufgård Vænget 26,"Holluf Pile, 5220 Odense SØ",3767000.0,2023,128,5,2,Fri handel
4953,"Floravænget 23, st. th.","Dalum, 5250 Odense SV",1160000.0,2023,85,3,1,Fri handel
4954,Beravænget 18,"Højstrup, 5210 Odense NV",2200000.0,2023,95,4,1,Fri handel
4955,Orionvænget 14,"Paarup, 5210 Odense NV",2795000.0,2023,150,5,2,Fri handel
4956,Piletoften 38A,"Agedrup, 5320 Agedrup",1475000.0,2023,94,3,1,Fri handel
4957,Toftevej 26B,5220 Odense SØ,1660000.0,2023,97,4,2,Fri handel
4958,Rulkedalen 13A,"Stenløse, 5260 Odense S",2725000.0,2023,164,6,2,Fri handel
4959,Smallemålet 38,"Sanderum, 5250 Odense SV",3580000.0,2023,179,5,2,Fri handel
4960,Sanderumvej 273,"Ravnebjerg, 5250 Odense SV",6239616.0,2023,121,4,1,Fri handel
4961,Hedelundvej 47,"Stige, 5270 Odense N",694585.0,2023,102,3,1,Fri handel
4962,"Dagmargade 7, 3. tv.",5000 Odense C,2175000.0,2023,73,3,1,Fri handel
4963,Rulkedalen 34,"Stenløse, 5260 Odense S",2095000.0,2023,137,5,2,Fri handel
4964,Lahnsgade 22,5000 Odense C,5000000.0,2023,112,3,2,Fri handel
4965,Bodil Neergård Vænget 3,"Søhus, 5270 Odense N",1387500.0,2023,107,5,1,Fri handel
4966,Rensdyrløkken 185,"Slukefter, 5210 Odense NV",975000.0,2023,75,3,1,Fri handel
4967,Merianvænget 2,"Kirkendrup, 5270 Odense N",3400000.0,2023,189,7,2,Fri handel
4968,Gunløgsvænget 2,"Højstrup, 5210 Odense NV",1910000.0,2023,113,4,1,Fri handel
4969,"Kongensgade 58C, 1. 1.",5000 Odense C,4700000.0,2023,159,4,2,Fri handel
4970,Hjallesevej 103,5230 Odense M,2900000.0,2023,115,4,3,Fri handel
4971,Vægtens Kvarter 259,"Holluf Pile, 5220 Odense SØ",1250000.0,2023,126,5,2,Fri handel
4972,Daltoften 93,"Agedrup, 5320 Agedrup",1925000.0,2023,125,4,2,Fri handel
4973,Brolandvej 20,"Agedrup, 5320 Agedrup",1725000.0,2023,188,4,2,Fri handel
4974,Anderuplunden 20,"Anderup, 5270 Odense N",1130000.0,2023,63,3,1,Fri handel
4975,Østergårds Allé 18,"Dalum, 5250 Odense SV",3565000.0,2023,90,4,2,Fri handel
4976,Vejrupvænge 5,"Vejrup, 5491 Blommenslyst",1595000.0,2023,118,5,2,Fri handel
4977,Erholmvænget 11,5230 Odense M,2725000.0,2023,110,4,1,Fri handel
4978,"Kronprinsensgade 14, st. th.",5000 Odense C,780000.0,2023,39,2,1,Fri handel
4979,"Damhusvej 4, 1.",5000 Odense C,4200000.0,2023,100,4,1,Fri handel
4980,Humlebivænget 95,"Hjallese, 5260 Odense S",1995000.0,2023,115,6,1,Fri handel
4981,Njalsvej 41,"Højstrup, 5210 Odense NV",1250000.0,2023,78,4,1,Fri handel
4982,Åsumvej 229,5240 Odense NØ,1700000.0,2023,110,4,1,Fri handel
4983,"Damhusvej 4, 2.",5000 Odense C,4200000.0,2023,96,4,1,Fri handel
4984,Labirksgyden 3,"Birkum, 5220 Odense SØ",892321.0,2023,180,8,1,Fri handel
4985,Købkesvej 29A,5230 Odense M,2195000.0,2023,85,4,1,Fri handel
4986,Næsby Skovvænge 29,"Næsby, 5270 Odense N",2750000.0,2023,117,4,2,Fri handel
4987,"Ingeborgvej 2B, 1.",5000 Odense C,2085000.0,2023,98,4,1,Fri handel
4988,"Damhusvej 4, st.",5000 Odense C,4200000.0,2023,92,4,1,Fri handel
4989,Dankvart Dreyers Vej 25,5230 Odense M,2650000.0,2023,137,5,2,Fri handel
4990,"Gyldenløvesgade 11, 1. th.",5000 Odense C,1700000.0,2023,71,2,1,Fri handel
